Name,Ostan,Shahrestan,Shahr,Roosta,Address,Phone Code,Reg Number,National Code
امیرالمومنین(ع),مازندران,بابلسر,NULL,دوغیکلا,جنب مسجد امام حسن(ع),01135224900/01135224167,19,10760004923
ولی عصر(عج),مازندران,بابلسر,NULL,میاندشت,بابلسر ،خیابان امام خمینی،نرسیده به میدان امام حسین،روستای میاندشت,01135332780,8,10760001988
ولی عصر(عج),مازندران,فریدونکنار,NULL,NULL,فریدونکنار،خیابان شهدا,01135652050,6,10760001350
ولی عصر(عج),مازندران,فریدونکنار,NULL,سوته,فریدونکنار ،روستای سوته,01135646230,13,10760003314
امام جعفرصادق(ع),مازندران,بابلسر,بهنمیر,کاله,جاده بهنمیر-روستای کاله,011-35752004,5,10760001156
ولی عصر(عج),مازندران,بابل,NULL,پائین احمدچاله پی ( پل انصاری ),جاده قدیم آمل روستای پائین احمد چاله پی,01132665200,26,10760006754
امام جعفرصادق(ع),مازندران,امل,آمل,اجوار کلا,جاده جدید امل به بابل،روستای اجوار کلا ،پلاک 1841,01143112273,9,10760002104
امام سجاد(ع),مازندران,امل,NULL,رئیس آباد,آمل ،جاده درویش خلیل ،فریدون کنار ،کمربندی رئیس اباد دابو,01143056155,13,10760003430
ولی عصر(عج),مازندران,محمودآباد,NULL,NULL,خیابان معلم-اول بلوار-روبروی درمانگاه شهدای محمود اباد,011-44742551-44747965,1,10760000010
ولی عصر(عج),مازندران,نور,رویان,NULL,رویان   ،خیابان شهدا,011-44542080/01144544777,12,10760003139
ایثار امام زمان(عج),مازندران,امل,NULL,شومیا,کیلومتر 10 آمل و محمد آباد کلوده روستای شومیا,01144835343,3,10760000706
امام جعفرصادق(ع),مازندران,محمودآباد,محمود اباد,ملاکلا,کیلومتر 12 فریدونکنار روستای ملاکلا,01144822999,24,10760001025
ولی عصر(عج),مازندران,نور,NULL,NULL,میدان امام-خیابان پاسداران-جنب فرمانداری,011-44527247/011-44527246/8,2,10760000364
امیر المومنین(ع),مازندران,قائم شهر,NULL,NULL,قائم شهر-خیابان ساری-خیابان رازی-روبروی فروشگاه فرهنگيان,01142225722,3,10760000744
المهدی(عج),مازندران,سواد کوه,پل سفید,NULL,خیابان امام - جنب نانوائی لواش سید جعفر حسینی-صندوق قرض الحسنه المهدی (عج)    پل سفید,01142422865,33,10760000841
ولی عصر(عج),مازندران,جویبار,NULL,انارمرز,جویبار روستای انارمرز,01142565140,3,10760012774
محمد رسول اله(ص),مازندران,ساری,NULL,NULL,کمربندی غربی_جنب میدان بار_جنب مسجد محمد رسول اله (ص),01133212998,20,10760005219
قدس,مازندران,ساری,NULL,NULL,خیابان 18 دی-جنب پاساژ امیر المومنین,011-33329103,17,10760004275
الفتح,مازندران,ساری,NULL,NULL,کیلومتر 23جاده ساری، کیاسر، روستای امره، خیابان امام حسین,01133453789,201,10760045386
ولی عصر(عج),مازندران,بهشهر,NULL,NULL,بلوار شهید هاشمی نژاد ،جنب پارک ملت ،پاساژ حضرت ولیعصر,01134524600,239,10760032847
امام حسین(ع),مازندران,بهشهر,NULL,شهیدآباد,روستای شهید آباد-تروجن-جنب کوچه زینبیه-روبروی حمام عمومی سرچشمه,01134581177,241,10760053360
نصر,مازندران,بهشهر,رستمكلا,رستمکلا,بهشهر،رستمكلا،خیابان مدرس,01134632280,1,10760000058
ولی عصر(عج),مازندران,بهشهر,گلوگاه,NULL,جاده گرگان کیلومتر 20،میدان 22 بهمن،خیابان طالقانی،پاساژولیعصر,1134663336,12,10760000647
ولی عصر(عج),مازندران,بهشهر,خلیل شهر,NULL,کمربندی ،خلیل شهر،روبروی شرکت چندمنظوره خلیل شهر,01134646288,39,10760010219
ولی عصر(عج),مازندران,بهشهر,NULL,شهیدآباد,تروجن، پایین جمعه، چهار راه اول به طرف شمال,011-34580384,13,10760003202
ولی عصر(عج),مازندران,گلوگاه,گلوگاه روستای خورشید کلا,NULL,گلوگاه ،بخش مرکزی،روستای خورشید کلا,011-34664944,20,10760001268
فاطمه زهرا(س),مازندران,بهشهر,NULL,NULL,انتهای خیابان شهید رجایی خیابان شهیدان رضیعی روبروی مسجد حضرت علی(ع),01134542529,29,10760007702
ولی عصر(عج),مازندران,گلوگاه,NULL,لمراسک,شهرستان گلوکاه،مرکز بخش کلباد لمراسک,011-34653450,2,10760000307
ولی عصر(عج),مازندران,بهشهر,NULL,قره تپه,بهشهر روستای قره تپه,01134628332,19,10760005014
ولی عصر(عج) شهدای علمدار,مازندران,بهشهر,NULL,علمدارمحله,خلیل شهر، روستای علمدار محله،روبروی مسجد جامع,٠١١34646277,41,10760010846
امام علی(ع),مازندران,بهشهر,NULL,پاسند,بهشهر. روستای پاسند,01134644710,65,10760016953
امام جواد(ع),مازندران,بهشهر,NULL,کوهستان,بهشهر-روستای کوهستان,01134642022,17,10760004446
فرهنگیان,مازندران,بهشهر,NULL,NULL,بلوار هاشمی نژادخیابان فرهنگ، جنب آموزش و پرورش,011-34537933/01134537922,16,10760004090
ولی عصر(عج),مازندران,بهشهر,NULL,روستای گرجی محله,جنب تکیه امام خمینی,01134632529,240,10760038496
رضوی,مازندران,نوشهر,NULL,NULL,نوشهر،خيابان انقلاب،روبروی اداره اموزش و پرورش سابق،جنب نساجی مازندران,01152351228,2,10760000438
امام عصر(عج),مازندران,عباس آباد,کلاراباد,کلارآباد,خیابان امام خمینی،بازارچه شهرداری،رو به رو مسجد حجت,-01154607933,68,14003934608
ولی عصر(عج),مازندران,تنکابن,تنكابن,ولی آباد,ولي آباد-خيابان اصلي -بلوارمهارت,01154392422,4,10760000875
الغدیر,مازندران,رامسر,NULL,کتالم,بازار-خیابان 22 بهمن-جنب بانک تجارت- پاساژرحیمی,01155249423,9,10760002254
بعثت,مازندران,تنکابن,NULL,شیرود,تنکابن، شیرود،بازار,01154372404,24,10760006302
شهید مطهری,مازندران,تنکابن,NULL,ندارد,بلوار دکتر شریعتی،مقابل مصلای تنکابن,01154222630,14,10760003498
امام عصر(عج),مازندران,عباس آباد,NULL,بخش عباس آباد,خیابان شهدا،روبروی مسجد جامع,011-54622224,17,10861637164
ذخیره المهدی(عج),مازندران,رامسر,NULL,NULL,خیابان شهید مطهری ،کوچه مسجد جامع بازار رامسر,011055253613-01155260805,1,10862002070
جواد الائمه,مازندران,آمل,NULL,NULL,خیابان شیخ فض اله نوری - روبروی فجر 11,01144265463,6,10760001399
مهر کتی غربی,مازندران,بابل,NULL,مهر کتی غربی,بابل ، جاده قائم شهر ، خداداد 25 کتی غربی,01132251133-32263686,10,10760002328
شهدای دیوا,مازندران,بابل,NULL,دیوا,بند پی غربی دیوا,01132446232,129,10861225450
جاویدان,گیلان,رشت,NULL,مرکزی,رشت،میدان شهدا(شهرداری)،مقابل نیروی انتظامی،اول خیابان شریعتی,01333235967-33234033,47,10720010773
ابوذر,گیلان,منجیل,NULL,NULL,خیابان امام خمینی,013-34642063,1,10720000215
ولی عصر(عج),گیلان,فومن,NULL,NULL,خیابان دکتر مفتح پشت سینماروبروی مرکز بهداشت،پلاک9,01334722156,1,10720000137
قائم(عج),گیلان,لاهیجان,NULL,NULL,خیابان قیام جنب کانون بازنشستگان تامین اجتماعی,013-42231990/42241990,5,10861951100
اثنی عشری,گیلان,لنگرود,NULL,NULL,لنگرود،خیابان بهشتي ،نبش خیابان نواب,013-42525553-4384,1,10861791595
المهدی(عج),گیلان,استانه اشرفیه,NULL,درگاه,استانه اشرفیه، روستای درگاه,01342181258,84,14007086377
ولی عصر(عج),گیلان,استانه اشرفیه,آستانه اشرفیه,مرکزی,میدان امام خمینی-خیابان طالقانی,013-42122262,75,10720001993
امام عصر(عج),گیلان,سیاهکل,NULL,NULL,خیابان امام خمینی-مقابل مخابرات,013-41322869,29,10860019391
صاحب الزمان(عج),گیلان,آستانه اشرفیه,بندر کیاشهر,پایین رود پشت,بندر کیا شهر-روستای پایین رود پشت(بعداز ظهر کار میباشند),013-42450772,83,10720002810
المهدی(عج),گیلان,لنگرود,NULL,مركزي,خیابان شریعتی-جنب مسجد جامعنبش كوچه بلال,013-42523990,2,10861791616
چهارده معصوم(ع),گیلان,لنگرود,NULL,NULL,لنگرود،خیابان امام خمینی،جنب هلال احمر،داخل پاساز موقوفه امینی,013-42522495,11,10861793316
صاحب الزمان(عج),گیلان,املش,NULL,NULL,خیابان ایت الله ربانی- جنب مسجد اعظم,013-42723300,16,10862061457
الزهرا(س),گیلان,لنگرود,NULL,NULL,لنگرود،خیابان امام خمینی،کوچه شهید غفاری زرگران،پاساژ شیک،طبقه دوم,01342525625,12,10861793392
امام حسن مجتبی(ع),گیلان,لنگرود,NULL,NULL,لنگرود،خیابان شریعتی،جنب بانک صادرات،پاساژ دعاگو، طبقه همکف,013-42532528,13,10861793432
نبی اکرم(ص),گیلان,تالش,اسالم,NULL,تالش،اسالم،خیابان امام خمینی،جنب بانک کشاورزی,013013-44294281-44291624,5,10862029929
محمدیه اسالم,گیلان,تالش,اسالم,NULL,اسالم، روبروی مسجد فاروغ اعظم جنب شرکت  توبا,01344284101,14,10862030277
امام سجاد(ع),گیلان,صومعه سرا,بازار جمعه تولم,NULL,صومعه سرا،خیابان امام خمینی،ازار جمعه تولم,01344362327,69,10720018713
امام جعفرصادق(ع),گیلان,تالش,اسالم . خلیف اباد,خلیف آباد,تالش -اسالم-خلیف اباد- جنب مسجد جامع خلیف آباد,013-44263050,23,10720005851
رسول اکرم(ص),گیلان,تالش,اسالم,NULL,اسالم-سه راه خلخال,01344263163,20,10720005262
امام رضا(ع),گیلان,تالش,اسالم,خاله سرا,هشتپر اسالم-خاله سرا 57-خانم طالب زاده09398890633,01344267363,27,10720006793
قائم آل محمد(عج),گیلان,تالش,NULL,چوبر,پست حویق-روستای چوبر-خیابان امام,01344215177,25,10720006380
حجت ابن الحسن( ع ),گیلان,رشت,NULL,NULL,خیابان مطهری ، کوچه میرزا خلیل رفیع ، ابتدای بن بست اخوان,01333329518,60,10720013056
امام رضا (ع) لوندویل,گیلان,استارا,لوندویل,NULL,استارا،لوندویل،خ امام ، روبروی برنجکوبی دستوری,01344861822,2,10720000540
ولی عصر(عج),گلستان,گرگان,NULL,NULL,خیابان امام خميني -بين افتاب 18و20,01732220501-32225052,1,10700000128
ولی عصر(عج),گلستان,گنبد کاوس,گنبدکاوس,NULL,میدان انقلاب مقابل بانک سپه مرکزی,01733220300,1,10980255035
ولی عصر(عج),گلستان,بندر گز,نوكنده,لیوان شرقی,بندر گز،روستاي لیوان شرقی، بازار قديم,01734387899,5,14000119931
ولی عصر(عج),گلستان,بندرگز,NULL,NULL,بندرگز،خیابان امام خمینی،کوچه انقلاب 44 ساختمان صندوق,01734362080-34367880-34368931,2,10980039324
ولی عصر(عج),گلستان,علی آباد کتول,علی آبادکتول,NULL,خیابان بهشتی چهار راه چنگلده,01734222415,1,10700000132
ولی عصر(عج),گلستان,علی آبادکتول,فاضل اباد,NULL,علی آبادکتول،فاضل اباد،خیابان امام خمینی،روبروی بانک ملت,017-34262055,2,10700000282
امام جعفرصادق(ع),گلستان,علی آباد کتول,علی اباد کتول,NULL,علی آباد کتول،خیابان امام رضا(ع)،جنب هتل خندان,01734223907-34224507,4,10700000468
حجت ابن الحسن(عج),گلستان,گالیکش,NULL,گالیکش,خیابان امام خمینی ره بعد از خیابان صاحب الزمان عج,01735830414,5,10700000677
جوادالائمه(ع),گلستان,مینودشت,NULL,NULL,خیابان سید جمال الدین اسد ابادی بعد از چهارراه برق,01735224303,4,10700000491
ذخیره رضوی,تهران,NULL,NULL,NULL,قلهک-خیابان شریعتی-خیابان دولت-مقابل کلانتری-مسجد اعظم,22603659-22001888,2064,10100175879
حجت ابن الحسن(عج),تهران,NULL,NULL,NULL,خیابان شریعتی،نرسیده به سه راه زندان(باغ صبا)،مسجد نوریان پلاک 4,02188413955,2815,10100199721
هجرت,تهران,NULL,NULL,NULL,میدان رسالت،اول خیابان طرقی،جنب مسجد الرسول،ساختمان نوریخواه،طبقه فوقانی بانک سپه,77896912,2545,10100192972
محبان امام جعفرصادق(ع),تهران,NULL,سیدخندان خ شریعتی ک حافظ پ 18 ط1,NULL,خیابان شریعتی،بالاتر از پال سید خندان،کوچه حافظ،پلاک 18،طبقه اول,22872210-22862300,7899,10100347340
اندوخته غدیر,تهران,NULL,NULL,NULL,خیابان امام خمینی،حسن آباد،جنب مسجدمجدبازار ابرار یراق،پلاک 228,66704656,3003,10100204017
کوثر,تهران,NULL,NULL,NULL,خیابان 15 خرداد-روبروی مسجد امام خمینی-پلاک553,33906120,2262,10100184226
جوادالائمه(ع),تهران,NULL,NULL,NULL,خیابان 15 خرداد،نرسیده به چهارراه سیروس،کوچه بازار آهنگر ها،پلاک 24,02155620719-55152060-55152070,2112,10100178244
ایثارگران,تهران,NULL,NULL,NULL,فلکه دوم تهران پارس،خیابان جشنواره، خیابان شهید معینی نژاد،شهرک شاهد،جنب مسجد قمربنی هاشم(ع),77781888-77329391,8743,10100372408
نیمه شعبان,تهران,NULL,NULL,NULL,خیابان 15 خرداد،انتهای بازار آهنگران،بازار چهل تن،پلاک 104،سرای حاج محمد علی،طبقه دوم واحد 33,02155151578,2894,10100201029
ازدواج,تهران,NULL,NULL,NULL,بازار-سرای حاج حسن,55625330-55611685,2432,10100189765
مسجد شهدای خیبر,تهران,NULL,NULL,NULL,اتوبان آهنگ ،خیابان 17 شهریور،بزرگراه شهیدمحلاتی،نرسیده به خیابان شهیدفجر(عارف)،مسجد شهدای خیبر,33732702-33708878,2863,10100200539
ذخیره محمدیه,تهران,NULL,NULL,NULL,"خیابان 15 خرداد،روبروی نوروزخان،اول کوچه همایون،سرای محمدیه،پلاک 41, 35",33973809-10-33963081,3008,10100204167
امام حسن مجتبی(ع),تهران,NULL,NULL,تهران,خیابان 15 خرداد،بعد از چهارراه شهید مصطفی خمینی،جنب مسجد امام حسن(ع),33566969-33568822,2653,10100195956
ذخیره برکت نو,تهران,NULL,NULL,NULL,خیابان قزوین،نرسیده به چهار راه ملک,55377727-8,2083,10100176812
امام مجتبی(ع),تهران,تهران,NULL,NULL,خیابان 17شهریور،خیابان شهید درودیان(دلگشا)،پلاک 277,33347250-33336577,2799,10100199434
اندوخته امین,تهران,NULL,NULL,NULL,خیابان پیروزی،سه راه سلیمانیه،خیابان بیمارستان فجر،جنب مخابرات،پلاک8,33341095-33783927-33340349,1944,10100170042
ذخیره امام زمان(عج),تهران,NULL,NULL,NULL,بازار،سرای عالی جدید،طبقه دوم,55637981,2323,10980041754
مکتب الزهرا(س),تهران,NULL,NULL,NULL,خیابان پیروزی،سه راه شکوفه،بلوار نیکنام،میدان سر اسیاب دولاب،خیابان شهید کندی،چهارراه حاجی قربانی,33183256,3219,10100210417
نورالهدی,تهران,تهران,NULL,NULL,خیابان سبلان شمالی،خیابان شهید محسن ازادی،چهار راه شهید نوری،جنب مسجد حجت بن الحسن(عج)،پلاک 137,88420025,2582,10100194064
امام زمان(عج),تهران,NULL,NULL,NULL,خیابان آزادی،نبش خیابان بهبودی،مسجد امام زمان(عج),66438877-66572494,2976,10100203230
اندوخته نیکان,تهران,NULL,NULL,NULL,خیابان شریعتی .ضلع شمال شرق پل همت .نبش دشتستان یکم . .پلاک 1043,02122843341-33914490-22874190,1628,10100154689
شفیع,تهران,NULL,NULL,NULL,میدان محمدیه، خیابان خیام جنوبی، شماره ۲۲۷,02155607122,2340,10100187155
انصارالمهدی(عج),تهران,NULL,NULL,تهران,تهران نو،ایستگاه ابوریحان كوچه كربلائي مهريزي مسجد بقيه الله,02177918682,2482,10100191251
سلمان فارسی,تهران,تهران,NULL,NULL,خيابان 17 شهريور،بزرگراه شهید محلاتی، بعد از ارجمندي راد،نرسيده به بزرگراه امام علي،پلاک 130,33715173-33010341,3111,10100207248
فجرنور,تهران,NULL,NULL,NULL,خیابان شهید رجایی،سه راه علی آباد،خیابان ابریشم،مسجد جامع علی آباد,55090207,2798,10100199420
مسجد الغدیر,تهران,NULL,NULL,NULL,خیابان میرداماد،خیابان زرنگار،درب شمالی مسجد،شماره 147،طبقه دوم,02122253600-22229064,2388,10100188481
امداد امام,تهران,NULL,NULL,NULL,میدان بهارستان،روبروی مدرسه عالی شهید مطهری،خیابان شهید مصطفی خمینی،پلاک904,33900010-33913192,3012,10100204279
شهید صدر,تهران,NULL,NULL,تهران,خیابان 15 خرداد غربی،نرسیده به چهار راه گلوبندک،ساختمان بهروز,55631592-55606230,2965,10100202890
فتح الزهرا(س),تهران,NULL,NULL,NULL,میدان سپاه،خیابان سپاه جنوبی،جنب پل هوایی،بن بست شادی,77536697,2475,10100191038
امین,تهران,NULL,NULL,تهران,میدان رازی،خیابان آیت الله ایروانی،سه راه سهراب،جنب مسجد ابوالفضل(ع)کوچه معماریان پلاک 13,02155644555,1899,10100167916
طریق القدس,تهران,NULL,NULL,NULL,خیابان خزانه بخارایی،نرسیده به ترمینال جنوب،روبروی پارک بعثت،مسجد قدس,55302905,2805,10100199546
اندوخته اسلامی حر,تهران,NULL,NULL,NULL,بازارکوچه حمام چال کوچه بازار امیر پلاک 247سرای آزادی طبقه اول واحد109,2155609057-55810502,2523,10100192404
مسجد محمدی,تهران,تهران,NULL,NULL,بیست مجیدیه جنوبی،ده متری آذری،خیابان شهید امیری،مسجد محمدی,22528510,2592,10100194370
مسجد امام حسین(ع),تهران,NULL,NULL,NULL,میدان امام حسین، ابتدای خیابان دماوند، کوچه اسلامی،پاساژ بازار دماوند،طبقه اول،واحد24,33303293,2110,10100178147
رحمتیه,تهران,NULL,NULL,NULL,میدان شهدا،اول خیابان پیروزی،خیابان شکوفه،مسجد رحمتیه،پلاک 355,02133277748-33344418-33347151,2927,10100201791
انصارالحسین مومنین,تهران,NULL,NULL,NULL,خیابان 15 خرداد،بازار نوروزخان،پاساژکاشفی،طبقه اول,55610854,8388,10100361873
مهدیه خامنه,تهران,NULL,NULL,NULL,انتهای مجیدیه جنوبی میدان سبلان ضلع شمالی، هیأت مهدیه خامنه,88433010,1937,10100169713
خاتم الانبیاء(ص),تهران,NULL,NULL,NULL,اتوبان شهید محلاتی(آهنگ)،خیابان شهید وفایی برومند،مسجد سنگی، جنب درب اصلی مسجد خاتم الانبیاء(ص),33557566,14191,10100533154
امام سجاد(ع),تهران,NULL,NULL,NULL,خیابان 15 خرداد،جنب مسجد امام خمینی،سقاخانه نوروزخان،پاساژ بوذرجمهری,55605996,2503,10861958689
رفاه,تهران,NULL,NULL,NULL,خیابان 15 خرداد،خیابان مصطفی خمینی،بازار سید اسماعیل،اول سه راه نجارها،مسجد امام حسن(ع)،پلاک50,55618086-55606465,2353,10100187520
محبان ولی عصر(عج),تهران,NULL,NULL,NULL,خیابان شهید بهشتی،خیابان خالد اسلامبولی،بین کوچه نهم و یازدهم ساختمان،105 طبقه دوم واحد 6,88725050,2992,10100203681
غدیر مسجد الانصارحجت(عج),تهران,تهران,NULL,NULL,خیابان خاوران،بعد از سه راه عارف،پلاک 948,33736272,11002,10100439134
باب الحوائج قمربنی هاشم(ع),تهران,NULL,NULL,NULL,خیابان قزوین،دوراهی قپان،خیابان شهید فرهنگ،خیابان شهید پهلوانی،پلاک115,55707755,2376,10100188180
ذخیره جاوید,تهران,NULL,NULL,NULL,خیابان خراسان،خیابان لرزاده،جنب مسجد لرزاده,33555164-3356536,1245,10100133636
مسجد المهدی(عج),تهران,NULL,NULL,NULL,میدان بهارستان،خیابان ری،سه راه امین حضور،خیابان شهید دیالمه,33128212,9300,10100388938
نبی اکرم(ص),تهران,NULL,NULL,NULL,خیابان دکتر شریعتی ،بالاتر از سه راه طالقانی،نبش خیابان شهید خداپرست،پلاک 302,77503355,2946,10100202336
آذربایجانیهای مقیم مرکز,تهران,تهران,NULL,NULL,میدان منیریه،ابتدای خیابان منیریه،پلاک49,66462067,2932,10100201924
قائم(عج) مسجد اکباتان,تهران,NULL,NULL,NULL,میدان امام خمینی،خیابان سعدی جنوبی،خیابان ملت،خیابان اکباتان،جنب مسجد اکباتان,33971919,2530,10100192540
رفاه کارگر,تهران,NULL,NULL,NULL,جاده خاوران،شهرک مسعودیه،اول شهید کلهر،ساختمان رفاه،پلاک 620,33483030,2335,10100186986
ذخیره قائم(عج),تهران,NULL,NULL,NULL,یافت آباد،بلوار الغدیر،خیابان شهید مرتضی زندیه،خیابان شهید مصطفی هاشم،نرسیده به بانک صادرات،پلاک 103,66809941 - 66805700,1720,10100159100
وحدت فاطمیه,تهران,NULL,NULL,09127625776علی احمدی مدیرداخلی,خیابان17شهریور،میدان شهدا،ایستگاه ناصریی،خیابان شهید آذرباد،پلاک 59,33330759-33319091,2308,10100185985
ذخیره سعادت,تهران,NULL,NULL,NULL,خیابان خزانه بخارایی،فلکه سوم،خیابان 12 متری مسجد فاطمیه،پلاک 6,55301850-55074993,2701,10100197067
بنی فاطمه(س),تهران,NULL,NULL,NULL,خیابان امیرکبیرشرقی حسینیه بنی فاطمه (س)پاساژ بنی فاطمه (س),02133522012-5,2767,10100198792
رفاه,تهران,NULL,NULL,NULL,خیابان وحدت اسلامی،خیابان مهدیخانی،روبروی کوی قوام,55389990,2182,10862068677
فدک,تهران,NULL,NULL,NULL,جاده خاوران،شهرک مسعودیه،بیست متری پیام،(شهیدطاهری)پلاک116,33871515-33481515,11398,10100450684
مسجد الزهرا(س) شهرآرا,تهران,NULL,NULL,NULL,خیابان ستارخان،شهر آرا،خیابان 25،مسجد الزهرا(س),02188267002,10217,10100416109
پس انداز مسلمین,تهران,NULL,NULL,NULL,خیابان پیروزی،چهار راه کوکاکولا،ابتدای خیابان شهید افراسیابی،پلاک 515,77477356,1918,10100168799
حجتیه,تهران,NULL,NULL,NULL,خیابان17شهریور،سراسیاب دولاب،میدان سراسیاب،مقابل بانک صادارت,33365999,2125,10100178890
جاودان گلستان,تهران,NULL,NULL,NULL,خیابان17شهریور،خیابان کرمان،خیابان محبی(گلستان سابق),33784064-33343336,2493,10100191515
والفجر,تهران,NULL,NULL,NULL,خیابان ایران،خیابان احمدی،خیابان گوته،مسجد سید الشهدا(ع),33567373-09121388092خطیبی,3362,10100214580
فاطمه زهرا(س),تهران,تهران,NULL,NULL,خیابان پیروزی،بلوار ابوذر،بعداز پل دوم،کوچه شهید مطهری،پلاک 3,33161485 -09194176468,2865,10100200558
مسلم بن عقیل,تهران,NULL,NULL,NULL,مهراباد جنوبی،خیابان دانشگاه هوایی جنوبی،پلاک 58,66698546-09123706101واحد,2774,10100199016
صنف تعمیرکاران دوچرخه و موتور,تهران,تهران,NULL,NULL,خیابان مولوی،بعد از وحدت اسلامی،روبروی ساعت مشیرالسلطنه،اتحادیه صنف تولیدکنندگان قطعات وتعمیرکاران دوچرخه وموتورسیکلت,02155393262,12255,10100475878
امام منتظر(عج),تهران,NULL,NULL,NULL,بزرگراه نواب صفوی،انتهای خیابان شهیدمحبوب مجاز(سینا غربی)،جنب مسجد زینبیه،کوچه شهید احمدیان،پلاک 13,02155766742,2819,10100199789
پیروان حضرت مهدی(عج),تهران,تهران,NULL,NULL,خیابان آذربایجان،بین خیابان  قصرالدشت و خوش،کوچه علی(ع)، جنب مسجد ، پلاک 1+12,02166370093,8435,10100363267
